PLAYER_NAME,SEASON,TEAM_ABBREVIATION,POSITION,PROFILE_GROUP,AGE,PTS,REB,AST,TS_PCT,USG_PCT,SCORING_PCTL,SHOOTING_PCTL,PLAYMAKING_PCTL,REBOUNDING_PCTL,DEFENSE_PCTL,EFFICIENCY_PCTL,RIM_PRESSURE_PCTL,CREATION_PCTL,ARCHETYPE
Brandon Clarke,2022-23,MEM,Big,Big,26.0,23.8,13.2,3.1,0.681,0.174,73.10244711737867,71.65768007742292,65.67814184985482,34.301119867274984,32.83388635420987,97.34549979261718,71.96184155951887,55.69265864786395,Big
Brandon Ingram,2022-23,NOP,Guard/Wing,Guard/Wing,25.0,35.1,7.8,8.3,0.582,0.306,97.68025555217523,66.77061149984789,85.32096136294494,71.3036203224825,13.583815028901732,82.09613629449346,94.37176756921205,91.550045634317,Guard/Wing
Brook Lopez,2022-23,MIL,Guard/Wing,Guard/Wing,35.0,24.3,10.2,1.9,0.63,0.187,74.83267417097657,76.016631173309,5.818375418314573,87.77760876178885,46.265591724977185,97.52814116215393,73.88956495284454,27.528901734104046,Guard/Wing
Bruce Brown,2022-23,DEN,Guard/Wing,Guard/Wing,26.0,19.6,7.0,5.7,0.571,0.174,45.96136294493459,57.288814521853766,58.138119866139334,63.530574992394286,12.047459689686644,75.6693033160937,56.85275327045938,47.77152418618801,Guard/Wing
Bryce McGowens,2022-23,CHA,Guard/Wing,Guard/Wing,20.0,14.5,5.5,3.2,0.519,0.147,12.73958016428354,32.51445086705203,29.251597201095226,35.73167021600243,14.313964101003954,32.97839975661698,14.879322583916439,23.341953148767875,Guard/Wing
Buddy Hield,2022-23,IND,Guard/Wing,Guard/Wing,30.0,25.4,7.6,4.3,0.614,0.205,79.89808335868574,95.75854375823953,46.1743230909644,69.09035594767265,3.8332826285366597,94.6836020687557,71.42531183449955,54.49117736537876,Guard/Wing
CJ McCollum,2022-23,NOP,Guard/Wing,Guard/Wing,31.0,28.5,6.0,7.8,0.541,0.26,89.37480985701247,73.51941993712605,77.63918466686948,45.208396714329176,10.343778521448128,52.4186188013386,76.98002231011053,83.92911469425007,Guard/Wing
Caleb Houstan,2022-23,ORL,Guard/Wing,Guard/Wing,20.0,11.3,5.8,1.8,0.508,0.107,2.776087617888652,46.11854781462326,2.7684818983875874,45.208396714329176,12.366899908731366,24.452388195923334,2.5808741506946555,2.239884393063584,Guard/Wing
Caleb Martin,2022-23,MIA,Guard/Wing,Guard/Wing,27.0,16.1,8.1,2.8,0.571,0.143,21.759963492546394,57.56769090355948,18.512321265591723,76.44508670520231,21.08305445695163,75.6693033160937,37.65084677010445,16.721174323090963,Guard/Wing
Cam Reddish,2022-23,POR,Guard/Wing,Guard/Wing,23.0,18.5,4.2,2.7,0.561,0.166,37.63310009126863,51.427340026366494,20.368116823851537,9.796166717371463,2.0155156677821724,68.69485853361728,43.11682385153636,25.673106175844236,Guard/Wing
Cam Thomas,2022-23,BKN,Guard/Wing,Guard/Wing,21.0,30.2,4.8,3.9,0.567,0.268,92.76696075448737,68.32471351789879,47.03376939458473,22.185883784606023,9.674475205354426,73.00730149072102,80.28343981340635,69.61515059324611,Guard/Wing
Cameron Johnson,2022-23,BKN,Guard/Wing,Guard/Wing,27.0,26.3,7.5,3.2,0.617,0.202,83.449954365683,91.51708751647907,29.898083358685735,66.07849102525098,32.59811378156374,95.44417401886218,74.81746273197444,45.398539701855796,Guard/Wing
Cameron Payne,2022-23,PHX,Guard/Wing,Guard/Wing,28.0,24.2,5.2,10.5,0.512,0.239,74.34590812290843,58.394179089341854,90.62975357468817,29.920900517188926,18.09400669303316,27.41101308183754,62.11337592536254,86.68238515363554,Guard/Wing
Caris LeVert,2022-23,CLE,Guard/Wing,Guard/Wing,28.0,19.7,6.2,6.3,0.546,0.183,46.66869485853361,66.75540006084576,63.26437480985702,50.45634317006389,33.76939458472771,56.753878916945546,45.81685427441436,54.43033160937025,Guard/Wing
Cedi Osman,2022-23,CLE,Guard/Wing,Guard/Wing,28.0,21.3,5.6,3.7,0.579,0.178,58.031639793124434,78.88145218537674,34.72771524186188,39.60298144204442,36.99421965317919,80.5978095527837,54.77385660683501,37.728171585031944,Guard/Wing
Chris Boucher,2022-23,TOR,Big,Big,30.0,22.7,13.4,0.9,0.59,0.175,67.89713811696392,82.8770911101894,4.852758191621734,50.39402737453339,39.44006636250518,75.61177934467025,52.619936402599194,25.632517627540437,Big
Chris Duarte,2022-23,IND,Guard/Wing,Guard/Wing,26.0,18.9,6.0,3.3,0.496,0.181,40.98722239123821,42.9114694250076,31.137815637359296,43.375418314572556,4.989351992698509,17.20413751140858,29.626812696481085,37.38591420748403,Guard/Wing
Chris Paul,2022-23,PHX,Guard/Wing,Guard/Wing,38.0,21.3,6.5,13.6,0.555,0.195,58.031639793124434,63.96663624378866,97.56616975965926,52.12960146029815,13.583815028901732,64.44326133252206,56.20880235270257,76.6542439914816,Guard/Wing
Christian Braun,2022-23,DEN,Guard/Wing,Guard/Wing,22.0,14.7,7.4,2.4,0.568,0.127,14.10100395497414,50.073521955176965,10.883784606023731,68.07118953452996,18.481898387587467,73.70702768481898,37.531690497921105,8.940523273501674,Guard/Wing
Christian Wood,2022-23,DAL,Big,Big,27.0,31.7,14.0,3.4,0.624,0.259,95.0228121111572,92.27844601133692,75.92285358772294,64.6619659892161,45.94566569888013,88.42803815844049,81.70192174754597,83.30568228950642,Big
Chuma Okeke,2022-23,ORL,Guard/Wing,Guard/Wing,24.0,11.8,8.9,3.4,0.488,0.121,3.9930027380590207,35.50603387080418,31.137815637359296,79.79160328567082,3.513842409491938,13.195923334347428,3.551871006997262,18.017949498022514,Guard/Wing
Clint Capela,2022-23,ATL,Big,Big,29.0,21.0,19.3,1.6,0.656,0.151,58.10866860223973,45.52053090004148,14.993778515138947,98.11281625881378,53.86354209871422,94.58730817088346,60.970551638324345,21.484861053504773,Big
Coby White,2022-23,CHI,Guard/Wing,Guard/Wing,23.0,19.6,5.8,5.6,0.572,0.17,45.96136294493459,76.71128688773958,56.69303316093702,43.375418314572556,24.361119561910556,76.30057803468208,46.075448737450564,45.52403407362336,Guard/Wing
Cole Anthony,2022-23,ORL,Guard/Wing,Guard/Wing,23.0,24.3,8.9,7.3,0.57,0.209,74.83267417097657,62.89169455430484,74.20139945238819,80.67386674779435,13.583815028901732,74.94675996349255,69.47824764222695,69.78627928202008,Guard/Wing
Collin Sexton,2022-23,UTA,Guard/Wing,Guard/Wing,24.0,28.2,4.3,5.7,0.616,0.23,88.66747794341345,70.95629246526721,62.23760267721327,11.29449345908123,3.8332826285366597,95.18557955582598,87.09055876685936,70.2578338910861,Guard/Wing
Corey Kispert,2022-23,WAS,Guard/Wing,Guard/Wing,24.0,18.7,4.7,2.0,0.657,0.139,39.32156982050502,91.87202109319543,4.259202920596288,22.185883784606023,4.989351992698509,99.26224520839672,47.96166717371463,8.36629145117128,Guard/Wing
Cory Joseph,2022-23,DET,Guard/Wing,Guard/Wing,31.0,16.8,4.2,8.5,0.558,0.149,26.148463644660787,69.29063989453402,80.78795254031031,8.57164587770003,9.31700638880438,66.6413142683298,28.630463441841602,49.798448433221786,Guard/Wing
D'Angelo Russell,2022-23,LAL,Guard/Wing,Guard/Wing,27.0,26.0,4.4,9.0,0.605,0.225,82.38515363553392,88.65987222391239,84.67447520535443,16.550045634317005,15.104958929114694,92.12808031639793,79.13244092891188,80.0806206267113,Guard/Wing
Daishen Nix,2022-23,HOU,Guard/Wing,Guard/Wing,21.0,11.7,5.1,6.8,0.447,0.149,3.7420139945238824,28.047358280093295,65.47763918466687,26.041983571645876,7.643748098570125,2.7228475813811985,7.869384443768381,42.143291755400064,Guard/Wing
Damian Lillard,2022-23,POR,Guard/Wing,Guard/Wing,32.0,42.6,6.3,9.7,0.645,0.331,99.8250684514755,87.91704695264173,94.014298752662,55.141466382719805,2.4186188013386065,98.73745056282324,91.58807423182232,96.69531487678734,Guard/Wing
Damion Lee,2022-23,PHX,Guard/Wing,Guard/Wing,30.0,19.1,7.1,3.1,0.607,0.155,42.47033769394585,87.26802555521753,25.372680255552176,60.85336172801947,41.6793428658351,92.6985092789778,40.688064090863,24.03407362336477,Guard/Wing
Daniel Gafford,2022-23,WAS,Big,Big,24.0,21.1,13.0,2.5,0.739,0.146,58.85524678556615,47.241808378266285,44.77395271671505,39.71381169639154,39.8952716715056,99.75114060555786,61.00511544310799,34.69514724180838,Big
Darius Garland,2022-23,CLE,Guard/Wing,Guard/Wing,23.0,30.0,3.7,10.8,0.587,0.262,92.48554913294798,83.87080417807525,93.09400669303317,6.267112868877396,31.944021904472166,84.62884088834804,85.99026467903862,91.91512017036811,Guard/Wing
David Roddy,2022-23,MEM,Guard/Wing,Guard/Wing,22.0,17.3,7.2,2.2,0.519,0.163,29.411317310617584,42.67315688064091,7.3775479160328565,59.49193793732888,13.583815028901732,32.97839975661698,33.63756211337593,17.991329479768787,Guard/Wing
Davion Mitchell,2022-23,SAC,Guard/Wing,Guard/Wing,24.0,14.8,3.5,6.1,0.545,0.14,14.610587161545482,46.64080722036304,60.80012169151202,3.399756616975966,16.200182537268027,55.87161545482202,31.994726701145932,36.971402494676,Guard/Wing
De'Aaron Fox,2022-23,SAC,Guard/Wing,Guard/Wing,25.0,34.9,5.8,8.5,0.599,0.288,97.49011256464861,60.85589696785316,86.08153331305142,48.84393063583815,3.095527836933374,89.99087313659872,96.29601460298146,90.98722239123822,Guard/Wing
